0,0.87442744,0.88816273,0.8968639,1
5000,1.0,0.88825965,1.0,2
10000,1.0,0.9999995,1.0,3
15000,1.0,1.0,1.0,4
20000,1.0,1.0,1.0,5
25000,1.0,1.0,1.0,6
30000,1.0,1.0,1.0,7
35000,1.0,1.0,1.0,8
40000,1.0,1.0,1.0,9
45000,1.0,1.0,1.0,10
50000,1.0,1.0,1.0,11
55000,1.0,1.0,1.0,12
60000,1.0,1.0,1.0,13
65000,1.0,1.0,1.0,14
70000,1.0,1.0,1.0,15
75000,1.0,1.0,1.0,16
80000,1.0,1.0,1.0,17
85000,1.0,1.0,1.0,18
90000,1.0,1.0,1.0,19
95000,1.0,1.0,1.0,20
100000,1.0,1.0,1.0,21
105000,1.0,1.0,1.0,22
110000,1.0,1.0,1.0,23
115000,1.0,1.0,1.0,24
120000,1.0,1.0,1.0,25
125000,1.0,1.0,1.0,26
130000,1.0,1.0,1.0,27
135000,1.0,1.0,1.0,28
140000,1.0,1.0,1.0,29
145000,1.0,1.0,1.0,30
150000,1.0,1.0,1.0,31
155000,1.0,1.0,1.0,32
160000,1.0,1.0,1.0,33
165000,1.0,1.0,1.0,34
170000,1.0,1.0,1.0,35
175000,1.0,1.0,1.0,36
180000,1.0,1.0,1.0,37
185000,1.0,1.0,1.0,38
190000,1.0,1.0,1.0,39
195000,1.0,1.0,1.0,40
200000,1.0,1.0,1.0,41
205000,1.0,1.0,1.0,42
210000,1.0,1.0,1.0,43
215000,1.0,1.0,1.0,44
220000,1.0,1.0,1.0,45
225000,1.0,1.0,1.0,46
230000,1.0,1.0,1.0,47
235000,1.0,1.0,1.0,48
240000,1.0,1.0,1.0,49
245000,1.0,1.0,1.0,50
250000,1.0,1.0,1.0,51
255000,1.0,1.0,1.0,52
260000,1.0,1.0,1.0,53
265000,1.0,1.0,1.0,54
270000,1.0,1.0,1.0,55
275000,1.0,1.0,1.0,56
280000,1.0,1.0,1.0,57
285000,1.0,1.0,1.0,58
290000,1.0,1.0,1.0,59
295000,1.0,1.0,1.0,60
300000,1.0,1.0,1.0,61
305000,1.0,1.0,1.0,62
310000,1.0,1.0,1.0,63
315000,1.0,1.0,1.0,64
320000,1.0,1.0,1.0,65
325000,1.0,1.0,1.0,66
330000,1.0,1.0,1.0,67
335000,1.0,1.0,1.0,68
340000,1.0,1.0,1.0,69
345000,1.0,1.0,1.0,70
350000,1.0,1.0,1.0,71
355000,1.0,1.0,1.0,72
360000,1.0,1.0,1.0,73
365000,1.0,1.0,1.0,74
370000,1.0,1.0,1.0,75
375000,1.0,1.0,1.0,76
380000,1.0,1.0,1.0,77
385000,1.0,1.0,1.0,78
390000,1.0,1.0,1.0,79
395000,1.0,1.0,1.0,80
400000,1.0,1.0,1.0,81
405000,1.0,1.0,1.0,82
410000,1.0,1.0,1.0,83
415000,1.0,1.0,1.0,84
420000,1.0,1.0,1.0,85
425000,1.0,1.0,1.0,86
430000,1.0,1.0,1.0,87
435000,1.0,1.0,1.0,88
440000,1.0,1.0,1.0,89
445000,1.0,1.0,1.0,90
450000,1.0,1.0,1.0,91
455000,1.0,1.0,1.0,92
460000,1.0,1.0,1.0,93
465000,1.0,1.0,1.0,94
470000,1.0,1.0,1.0,95
475000,1.0,1.0,1.0,96
480000,1.0,1.0,1.0,97
485000,1.0,1.0,1.0,98
490000,1.0,1.0,1.0,99
495000,1.0,1.0,1.0,100
500000,1.0,1.0,1.0,101
